Refs,Value,Footprint,Quantity,MFR,MPN,SPR,SPN
R302,330R 1%,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,TE Connectivity Passive Product,CRGCQ0805F330R,digikey,A129743CT-ND
R404,41.2  0.1%,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,Panasonic Electronic Components,ERA-6AEB4122V,digikey,P41.2KDACT-ND
R211;R212;R208,4K7 1%,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,3,Yageo,RC0805FR-074K7L,digikey,311-4.70KCRCT-ND
R401,5.9K 0 .1%,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,Panasonic Electronic Components,ERA-6AEB5901V,digikey,P5.9KDACT-ND
R303,61.9K 0.1%,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,Panasonic Electronic Components,ERA-6AEB6192V,digikey,P61.9KDACT-ND
R103,75K 0.1%,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,Panasonic Electronic Components,ERJ-PB6B7502V,digikey,P20808CT-ND
R102,82K 0.1%,Resistor_SMD:R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,1,Panasonic Electronic Components,ERA-6AEB823V,digikey,P82KDACT-ND
R114;R120,2 mOhm Thick Film 1% 1W,Resistor_SMD:R_1210_3225Metric_Pad1.42x2.65mm_HandSolder,2,Rohm Semiconductor,PMR25HZPFV2L00,digikey,RHM.002APCT-ND
U301,FDA217,SMD_Packages:DIP-8_SMD,1,IXYS Integrated Circuits Division,FDA217S,digikey,CLA408-ND
TP304;TP303;TP301;TP305;TP307;TP302;TP306;TP101;TP102;TP103;TP501;TP201;TP202;TP203,TestPoint,TestPoint:TestPoint_Pad_3.0x3.0mm,14,-,-,-,-
TR401,FS-10-110-C2,Transformers_ThroughHole_jl:FS10-110-C2,1,Triad Magnetics,FS10-110-C2,digikey,237-1578-ND
Q101,IXFP36N20X3,Transistors_ThroughHole_jl:TO-220_Horizontal_Offset_Drain,1,IXYS,IXFP36N20X3,digikey,IXFP36N20X3-ND
Q305;Q306,IRFP4321PBF,Transistors_ThroughHole_jl:TO-247-3_Horizontal_TabDown,2,Infineon Technologies,IRFP4321PBF,digikey,IRFP4321PBF-ND
J401;J402,Screw_Terminal_01x02,digikey-footprints:Term_Block_1x2_P5mm,2,Phoenix Contact,1792863,digikey,277-2518-ND
U302,LTC7138EMSE-PBF,ltc7138:LTC7138EMSE-PBF,1,Linear Technology/Analog Devices,LTC7138EMSE#PBF,digikey,LTC7138EMSE#PBF-ND
U202,Teensy-LC,teensy:Teensy30_31_32_LC,1,SparkFun Electronics,DEV-13305,digikey,1568-1233-ND
