Reference, Value, Footprint, Datasheet, MFR, MPN, SPN, SPR, SPURL, Holder DataSheet, Connector
"D103","BAT54S","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://toshiba.semicon-storage.com/info/docget.jsp?did=37137&prodName=TBAT54","Toshiba Semiconductor and Storage","TBAT54S,LM","TBAT54SLMCT-ND","digikey","-","",""
"D102","BAT54S","Package_TO_SOT_SMD:SOT-23_Handsoldering","http://toshiba.semicon-storage.com/info/docget.jsp?did=37137&prodName=TBAT54","Toshiba Semiconductor and Storage","TBAT54S,LM","TBAT54SLMCT-ND","digikey","-","",""
"J103","Solar Panels","Connect_jl:TerminalBlock_4way_P6.35mm_P9.5mm_Holes1.7mm","https://media.digikey.com/pdf/Data%20Sheets/Phoenix%20Contact%20PDFs/1017516_Ds.pdf","Phoenix Contact","1017516","277-17506-ND","digikey","-","",""
"R105","1K 0.1%","Resistors_SMD:R_0805_HandSoldering","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Panasonic Electronic Components","ERA-6AEB102V","P1.0KDACT-ND","digikey","-","",""
"C113","1nF","Capacitors_SMD:C_0805_HandSoldering","https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf","Yageo","CC0805KRX7R9BB102","311-1127-1-ND","digikey","-","",""
"Q102","BC847B-13-F","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://www.diodes.com/assets/Datasheets/ds11108.pdf","Diodes Incorporated","BC847B-13-F","BC847B-13-FDICT-ND","digikey","-","",""
"C104","70uF PP Film 500V 2.1mOhm","Capacitors_ThroughHole_jl:C_RECT_4PIN_L42mm_W30mm_P37.5mm_P20.3mm","https://media.digikey.com/pdf/Data%20Sheets/Kemet%20PDFs/C4AQ%20Series,%20Auto.pdf","KEMET","C4AQLBW5700A3LK","399-17006-ND","digikey","-","",""
"C111","1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","~","Wurth Elektronik","885012207078","732-7672-1-ND","digikey","-","",""
"C106","1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","~","Wurth Elektronik","885012207078","732-7672-1-ND","digikey","-","",""
"C115","1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","~","Wurth Elektronik","885012207078","732-7672-1-ND","digikey","-","",""
"TP101","TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Big","~","-","-","-","-","-","",""
"TP102","TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Big","~","-","-","-","-","-","",""
"TP103","TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Big","~","-","-","-","-","-","",""
"U202","Teensy-LC","teensy:Teensy30_31_32_LC","https://media.digikey.com/pdf/Data%20Sheets/Sparkfun%20PDFs/DEV-13305_Web.pdf","SparkFun Electronics","DEV-13305","1568-1233-ND","digikey","-","",""
"R201","1K 1%","Resistors_SMD:R_0805_HandSoldering","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","Yageo","RC0805FR-071KL","311-1.00KCRCT-ND","digikey","-","",""
"R202","1K 1%","Resistors_SMD:R_0805_HandSoldering","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","Yageo","RC0805FR-071KL","311-1.00KCRCT-ND","digikey","-","",""
"R203","1K 1%","Resistors_SMD:R_0805_HandSoldering","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","Yageo","RC0805FR-071KL","311-1.00KCRCT-ND","digikey","-","",""
"R204","1K 1%","Resistors_SMD:R_0805_HandSoldering","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","Yageo","RC0805FR-071KL","311-1.00KCRCT-ND","digikey","-","",""
"SW201","SW_Up","Buttons_Switches_ThroughHole_jl:SW_Tactile_SPST_Angled_FSM104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1437565-6&DocType=Customer+Drawing&DocLang=English","TE Connectivity ALCOSWITCH Switches","FSM104","450-1127-ND","digikey","-","",""
"SW202","SW_Down","Buttons_Switches_ThroughHole_jl:SW_Tactile_SPST_Angled_FSM104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1437565-6&DocType=Customer+Drawing&DocLang=English","TE Connectivity ALCOSWITCH Switches","FSM104","450-1127-ND","digikey","-","",""
"SW203","SW_Enter","Buttons_Switches_ThroughHole_jl:SW_Tactile_SPST_Angled_FSM104","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1437565-6&DocType=Customer+Drawing&DocLang=English","TE Connectivity ALCOSWITCH Switches","FSM104","450-1127-ND","digikey","-","",""
"Q201","SSM3K329R","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://toshiba.semicon-storage.com/info/docget.jsp?did=2157&prodName=SSM3K329R","Toshiba Semiconductor and Storage","SSM3K329R,LF","SSM3K329RLFCT-ND","digikey","-","",""
"Q203","SSM3J334R","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://toshiba.semicon-storage.com/info/docget.jsp?did=5579&prodName=SSM3J334R","Toshiba Semiconductor and Storage","SSM3J334R,LF","SSM3J334RLFCT-ND","digikey","-","",""
"R205","100K 1%","Resistors_SMD:R_0805_HandSoldering","~","Yageo","RC0805FR-07100KL","311-100KCRCT-ND","digikey","-","",""
"Q202","SSM3K329R","Package_TO_SOT_SMD:SOT-23_Handsoldering","https://toshiba.semicon-storage.com/info/docget.jsp?did=2157&prodName=SSM3K329R","Toshiba Semiconductor and Storage","SSM3K329R,LF","SSM3K329RLFCT-ND","digikey","-","",""
"R206","100R 1%","Resistors_SMD:R_0805_HandSoldering","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","Yageo","RC0805FR-07100RL","311-100CRCT-ND","digikey","-","",""
"RV201","5K","Potentiometers:Potentiometer_Trimmer_Bourns_3006P","https://www.bourns.com/docs/Product-Datasheets/3306.pdf","Bourns Inc","3006P-7-502LF","3006P-7-502LF-ND","digikey","-","",""
"R207","15K 1%","Resistors_SMD:R_0805_HandSoldering","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English","TE Connectivity Passive Product","CRGCQ0805F15K","A129763CT-ND","digikey","-","",""
"U204","ESP-WROOM-02U","RF_Module_jl:MODULE_ESP-WROOM-02U","https://www.espressif.com/sites/default/files/documentation/0c-esp-wroom-02_datasheet_en.pdf","Espressif Systems","ESP-WROOM-02U","1904-1022-1-ND","digikey","-","",""
"U203","PCF8574ADWR","Housings_SOIC:SOIC-16W_7.5x10.3mm_Pitch1.27mm","http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fpcf8574a","Texas Instruments","PCF8574ADWR","296-13105-1-ND","digikey","-","",""
"R211","4K7 1%","Resistors_SMD:R_0805_HandSoldering","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","Yageo","RC0805FR-074K7L","311-4.70KCRCT-ND","digikey","-","",""
"R212","4K7 1%","Resistors_SMD:R_0805_HandSoldering","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","Yageo","RC0805FR-074K7L","311-4.70KCRCT-ND","digikey","-","",""
"R208","4K7 1%","Resistors_SMD:R_0805_HandSoldering","https://www.yageo.com/upload/media/product/productsearch/datasheet/rchip/PYu-RC_Group_51_RoHS_L_11.pdf","Yageo","RC0805FR-074K7L","311-4.70KCRCT-ND","digikey","-","",""
"C201","1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","~","Wurth Elektronik","885012207078","732-7672-1-ND","digikey","-","",""
"C202","0.1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21B104KACNNNC_Spec.pdf","Samsung","CL21B104KACNNNC","1276-1099-1-ND","digikey","-","",""
"C204","10uF X7R 25V 10%","Capacitors_SMD:C_1206_HandSoldering","http://www.samsungsem.com/kr/support/product-search/mlcc/CL31B106KAHNNNE.jsp","Samsung Electro-Mechanics","CL31B106KAHNNNE","1276-1804-1-ND","digikey","-","",""
"C203","0.1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21B104KACNNNC_Spec.pdf","Samsung","CL21B104KACNNNC","1276-1099-1-ND","digikey","-","",""
"R210","15K 1%","Resistors_SMD:R_0805_HandSoldering","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English","TE Connectivity Passive Product","CRGCQ0805F15K","A129763CT-ND","digikey","-","",""
"JP203","BOOT_OPTION","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","https://media.digikey.com/PDF/Data%20Sheets/Sullins%20PDFs/z%20RzCzzzSzzN-RC,%20ST,11635-B.pdf","Sullins Connector Solutions","PREC002SAAN-RC","S1012EC-02-ND","digikey","-","",""
"J202","Conn_01x03_Female","Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm","https://media.digikey.com/PDF/Data%20Sheets/Sullins%20PDFs/z%20RzCzzzSzzN-RC,%20ST,11635-B.pdf","Sullins Connector Solutions","PREC003SAAN-RC","S1012EC-03-ND","digikey","-","",""
"JP201","SDA_EN","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","https://media.digikey.com/PDF/Data%20Sheets/Sullins%20PDFs/z%20RzCzzzSzzN-RC,%20ST,11635-B.pdf","Sullins Connector Solutions","PREC002SAAN-RC","S1012EC-02-ND","digikey","-","",""
"JP202","SCL_EN","Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm","https://media.digikey.com/PDF/Data%20Sheets/Sullins%20PDFs/z%20RzCzzzSzzN-RC,%20ST,11635-B.pdf","Sullins Connector Solutions","PREC002SAAN-RC","S1012EC-02-ND","digikey","-","",""
"J203","I2C_BUS","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm","http://www.adam-tech.com/downloader.php?p=PH1-XX-UA.pdf","Adam Tech","PH1-04-UA","2057-PH1-04-UA-ND","digikey","-","",""
"R209","15K 1%","Resistors_SMD:R_0805_HandSoldering","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English","TE Connectivity Passive Product","CRGCQ0805F15K","A129763CT-ND","digikey","-","",""
"C205","0.1uF X7R 25V 10%","Capacitors_SMD:C_0805_HandSoldering","https://media.digikey.com/pdf/Data%20Sheets/Samsung%20PDFs/CL21B104KACNNNC_Spec.pdf","Samsung","CL21B104KACNNNC","1276-1099-1-ND","digikey","-","",""
"R213","15K 1%","Resistors_SMD:R_0805_HandSoldering","https://www.te.com/commerce/DocumentDelivery/DDEController?Action=srchrtrv&DocNm=1773204-3&DocType=DS&DocLang=English","TE Connectivity Passive Product","CRGCQ0805F15K","A129763CT-ND","digikey","-","",""
"U201","LCD 2004A Right Angle Header 16 pin 2.54mm","Connect_jl:LCD2004_Pin_Header_Angled_1x16_Pitch2.54mm","/media/jlynch/SW_Preload/Users/jlynch/Downloads/DataSheets/LCD/2004A-RK-10290_410.pdf","Adam Tech","PH1RB-16-UA","2057-PH1RB-16-UA-ND","digikey","-","","http://www.adam-tech.com/downloader.php?p=PH1RB-XX-UA.pdf"
"TP201","TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Big","~","-","-","-","-","-","",""
"TP202","TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Big","~","-","-","-","-","-","",""
"TP203","TestPoint","Measurement_Points:Measurement_Point_Square-SMD-Pad_Big","~","-","-","-","-","-","",""
"U302","LTC7138EMSE-PBF","ltc7138:LTC7138EMSE-PBF","https://www.analog.com/media/en/technical-documentation/data-sheets/7138f.pdf","Linear Technology/Analog Devices","LTC7138EMSE#PBF","LTC7138EMSE#PBF-ND","digikey","-","",""
"L301","150uH 610mA","Inductors_jl:Inductor_Bourns_PM3308","https://www.bourns.com/docs/Product-Datasheets/pm3308_series.pdf","Bourns Inc.","PM3308-151M-RC","PM3308-151M-RCCT-ND","digikey","-","",""
"C306","33uF X7R 16V 20%","Capacitors_SMD:C_1812_HandSoldering","https://product.tdk.com/info/en/documents/chara_sheet/C4532X7R1C336M250KC.pdf","TDK Corporation","C4532X7R1C336M250KC","445-3924-1-ND","digikey","-","",""
"C303","1uF X7R 250V 10%","Capacitors_SMD:C_2220_HandSoldering","https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf?ref_disty=digikey","TDK Corporation","C5750X7R2E105K230KA","445-2304-1-ND","digikey","-","",""
"D301","1A 150V 0.7V SMA","Diodes_SMD:D_SMA_Handsoldering","https://www.diodes.com/assets/Datasheets/SBR1U150SA.pdf","Diodes Incorporated","SBR1U150SA-13","SBR1U150SA-13DICT-ND","digikey","-","",""
